Type,Plant - Common,Full Grown Characteristics,Flower Color,Soil Type,Sun Exposure,Foliage Color
GROUND COVER,"Phlox, Moss","3-6""Tx2-3'W, blue flowers, late April, deer resistant, N",Blue,Moist,Full Sun,Green
GROUND COVER,"Phlox, Moss","3-6""Tx2-3'W, bright pink flowers, late April, deer resistant, N",Bright Pink,Moist,Full Sun,Green
GROUND COVER,"Phlox, Moss","3-6""Tx2-3'W, white flowers, late April-May, hardy, deer resistant, N",White,Moist,Full Sun,Green
GROUND COVER,"Phlox, Moss","3-6""Tx2-3'W, purple-blue flowers, late April-May, hardy, evergreen, deer resistant, N",Purple Blue,Moist,Full Sun,Green
GROUND COVER,"Phlox, Woodland","8""Tx18-24""W, blue-lilac flowers, May/June, semi-evergreen, N",Blue/ Lilac,Average,Part/Full Shade,Green
GROUND COVER,"Phlox, Woodland","8""Tx18-24""W, pink flowers, May/June, N",Pink,Moist,Part/Full Shade,Green
GROUND COVER,"Phlox, Woodland","6-10""Tx2-3'W, deep purple flowers, May, semi-evergreen, N",Deep Purple,Moist,Part/Full Shade,Green
GROUND COVER,"Ragwort, Golden","6-8""Tx18-24""W, yellow flowers, mid-April, moist shade, N",Yellow,Moist,Sun/Part Sun,Deep Green
GROUND COVER,Rhododendron ,"2-3'Tx3-4'W, soft yellow flower, late April, low and dwarf, bronze winter foliage",Soft Yellow,Moist,Sun/Part Sun,Green
GROUND COVER,Rhododendron ,"2' Tx4'W, purple/blue flower, early May",Purple/Blue,Moist,Sun/Part Sun,Green
GROUND COVER,"Rose, Drift","1-2'Tx3-4'W, deep pink, white-eyed flowers, mid May-Fall, med-dark green DR foliage",Deep Purple/White ,Average,Full Sun,Med-Dark Green
GROUND COVER,"Rose, Drift","1-2'Tx2-3'W, double clear pink blooms, mid May-Fall, med-dark green DR foliage",Clear Pink,Average,Full Sun,Med-Dark Green
GROUND COVER,"Rose, Drift","1-2'Tx2-3'W, double red blooms, mid May-Fall, med-dark green DR foliage", Red,Average,Full Sun,Med-Dark Green
GROUND COVER,"Rose, Drift","1-2'Tx2-3'W, double apricot/pink blooms, mid May-Fall glossy dark green DR foliage", Apricot/Pink,Average,Full Sun,Glossy Dark Green
GROUND COVER,"Rose, Drift","1-2'Tx2-3'W, double peach/yellow blooms, mid-May-Fall, med-dark green DR foliage",Peach/Yellow,Average,Full Sun,Medium Green
GROUND COVER,"Rose, Drift","1-2'Tx2-3'W, yellow/cream blooms, mid May-Fall med-dark green DR foliage",Yellow/Cream,Average,Full Sun,Med-Dark Green
GROUND COVER,"Rose, Drift","1-2'Tx2-3'W, semi-double salmon/coral blooms, mid May-Fall, med-dark green DR foliage",Salmon/Coral,Average,Full Sun,Med-Dark Green
GROUND COVER,"Rose, Ground Cover","2-3'Tx3-5'W, small, double pink flowers",  Pink,Average,Full Sun,Medium Green
GROUND COVER,"Rose, Ground Cover","2-3'Tx3-4'W, semi-double, purple/crimson flowers, hips, birds",Purple/Crimson,Average,Full Sun,Green
GROUND COVER,"Rose, Ground Cover","2-3'Tx3-5'W, pale lavender-pale blush pink-white fragrant flowers, June-September, Hips",Lavender/White,Average,Full Sun,Green
GROUND COVER,"Rose, Ground Cover Beach","2-3'Tx3-6'W, fragrant, single, bright pink flowers, June-September, Hips, Birds",Bright Pink,Average,Full Sun,Green
GROUND COVER,"Rose, Oso Easy Ground Cover","12-18""Tx2-3'W, red-orange with bright yellow center flowers, summer","Red/Orange, Yellow center",Moist,Full Sun,Glossy  Green
GROUND COVER,"Rose, Oso Easy Ground Cover","12-36""Tx12-36""W, soft peach-cream flowers, late May, glossy, deep green foliage",Soft Peach/Cream,Average,Full Sun,Glossy Deep Green
GROUND COVER,"Rose, Oso Easy Ground Cover","12-36""Tx12-36""W, salmon/coral flowers, late May, glossy, deep green foliage",Salmon/Coral,Average,Full Sun,Glossy Deep Green
GROUND COVER,"Rosemary, Bog","1'Tx 3'W, pink, bell-shaped flowers, early Spring, evergreen blue foliage, wet soil",Pink,Wet,Sun/Part Sun,Blue
GROUND COVER,Rupturewort,"2-3""Tx18-24""W, fine-leaved, tremendous spreading groundcover,  ",,Average,Sun/Part Sun,Green
GROUND COVER,Snow in Summer,"3-6""Tx18-24""W, wooly gray foliage, white flowers, May-June, aggressive",White,Average,Sun/Part Sun,Wooly Gray
GROUND COVER,"Soapwort, Rock","4-8""Tx3'W, bright pink-purple flower, Spring, evergreen foliage, fast grower                                                              ",Pink/Purple,Average,Full Sun,Greyish Green
GROUND COVER,"Speedwell, Creeping","6""Tx18""W, sky blue flowers with white eye, April- May, deep green foliage                                                               ",Sky Blue/White Eye,Average,Sun/Part Sun,Deep Green
GROUND COVER,"Speedwell, Creeping","1-3""Tx8-10""W, lavender to white flowers, May",Lavender /White,Moist,Full sun,Deep Green
GROUND COVER,"Speedwell, Creeping","2-4""Tx18-24""W, brilliant blue flowers, early June, fine-textured olive green foliage",Brillant Blue,Dry,Full sun, Olive Green
GROUND COVER,"Spirea, Alpine","12-15""Tx4-5'W, dense, soft pink flowers, June",Soft Pink,Average,Sun/Part Sun,Green
GROUND COVER,"Spruce, Birdnest","2-3'Tx4-5'W, slow growing and spreading",,Average,Full sun,Green
GROUND COVER,"Stephanandra, Cutleaf","2-3'Tx5-7'W, compact habit, finely dissected, foliage, Fall Color",,Average,Sun/Part Sun,Green
GROUND COVER,"Stonecrop, creeping","4-6""Tx20-24""W, pinkish-red flower, July, bronze-beet red, fleshy foliage",Pinkish/Red,Average to dry,Full sun,Bronze/Red 
GROUND COVER,Stonecrop,"4""Tx18-24""W, rose-red flower, Summer, bronze foliage",Rose Red,Average to dry,Full sun,Bronze/Red 
GROUND COVER,Stonecrop,"3-4""Tx10-12""W, deep pink flowers, purple-edged, blue-gray foliage, August-September",Deep Pink,Average,Full sun,Blue Gray w/purple edge
GROUND COVER,"Stonecrop, Woodland","4-6""Tx10-12""W, white flowers, May-June, shady areas, wildlife, N                                                      ",White,Average to moist,Sun/Part Sun,Light Green
GROUND COVER,Stonecrop,"6-8""Tx12-15""W, white flowers, early July, blue-green succulent leaves, N",White,Average,Sun/Part Sun,Blue Green 
GROUND COVER,Stonecrop,"4-6""Tx14-18""W, dark pink flowers, late summer, steel blue, tufted, succulent leaves, DR",Dark Pink,Average to dry,Full sun,Steel Blue
GROUND COVER,Stonecrop,"6-8""Tx12-15""W, pink flowers, late summer, burgundy-red succulent leaves, DR",Pink,Average,Full Sun,Burgundy-Red
GROUND COVER,Stonecrop,"4""Tx18""W, soft pink flowers, late summer, lime green leaves with creamy yellow edges, DR",Soft Pink,Average,Full Sun,Lime Green w /creamy edges
GROUND COVER,Stonecrop,"6""Tx18""W, pink flowers, late summer, vibrant red foliage with pink edges that turn orange in fall, mat forming, DR",Pink,Average,Full Sun,Vibrant Red/w pink edges
GROUND COVER,Stonecrop,"10-12""Tx18-24""W, dark pink flowers, late summer, blue-gray mounding leaves",5.45,,,
GROUND COVER,Stonecrop,"3-6""T, white flowers, Jun-July, blue green foliage turns blood red in winter                                     ",White,Average,Full Sun,Blue/Green
GROUND COVER,"Stonecrop, Goldmoss","3""Tx12-24""W, yellow flowers, early-mid-summer, Deer Resistant",Yellow,Average to dry,Sun/Part Sun,Green
GROUND COVER,Stonecrop,"2-3""Tx15-18""W, pink flowers, late August, scalloped-shaped, fleshy foliage",Pink ,Average,Full sun,Medium Green
GROUND COVER,Stonecrop,"6""Tx18""W, pink flowers, late Summer, lime with red tips foliage, Deer and Drought Resistant",Pink,Average,Full Sun,Lime w/red tips
GROUND COVER,Stonecrop,"6""Tx2'W, white flrs, mid-summer, bead-shaped, green changing to coral-colored leaves in hot weather, red Fall Color",White ,Average to dry,Sun/Part Sun,Green to coral
GROUND COVER,Stonecrop,"1-3""T x 24""W, yellow flowers, early-mid Summer, green fleshy foliage turns golden-orange in Fall",Yellow,Average to dry,Sun/Part Sun,Green  
GROUND COVER,Stonecrop,"14""Tx 18""W, pink flowers, late Summer, red stems, butterflies",Pink,Average to dry,Sun/Part Sun,Red Stem
GROUND COVER,Stonecrop,"6-8""T x 18""W, yellow flowers, Summer, deep green fleshy foliage, Bees",Yellow,Average,Full Sun,Deep Green
GROUND COVER,Stonecrop,"8-10""Tx 18""W, deep pink flowers, Summer, deep plum foliage, butterflies and bees",,,,
GROUND COVER,Stonecrop,"8-10""Tx 18""W, deep pink flowers, Summer, purple, pink, white foliage, butterflies and bees",,,,
GROUND COVER,"Strawberry, Barren","4-6""Tx12-18""W, single yellow flowers, April-early July, dark green, three-lobed foliage, N", Yellow,Average,Sun/Part Sun,Dark Green 
GROUND COVER,"Strawberry, Ornamental","4-6""Tx12-20""W, deep rose-pink flowers, April-June, dark green foliage, fast spreading, wildlife, N                                        Northcreek",,,,
GROUND COVER,"Sumac, Fragrant","1-2'Tx5-6'W, fragrant yellow flower, April, shiny orange/red Fall Color, N",Yellow,Average to dry,Sun/Part Sun,Green
GROUND COVER,Sweet Woodruff ,"6-8""Tx15-18""W, white flowers, May-June, fragrant leaves, Agressive ",White,Average to moist,Sun/Part Sun,Green
GROUND COVER,Sweet Woodruff ,"6-8""Tx15-18""W, white flowers, May-June, fragrant leaves, Agressive ",White,,,
GROUND COVER,"Sweetbox, Himalayan","18-24""Tx3-4'W, fragrant white flowers, late April, low mounding evergreen ",White,Average,Part/Full Shade,Dark Green
GROUND COVER,"Thyme, Lemon","8-10""Tx18-24""W, silver-green variegated leaves, June-July, Deer Resistant",Pale Lilac,Average to dry,Full Sun,Silver Green variegated
GROUND COVER,"Thyme, Creeping","1-2""Tx12-18""W, magenta-red flowers, Deer Resistant",Magenta Red,Average to dry,Full Sun,Dark Green
GROUND COVER,"Thyme, Creeping","2""T, white flowers, Summer, evergreen foliage, Deer Resistant",White ,Average to dry,Full Sun,Light Green
GROUND COVER,"Thyme, Creeping","1-2""Tx6-8""W, pink flowers, Summer, evergreen foliage, Deer Resistant",Lavender Pink,Average to dry,Full Sun,Gray Green
GROUND COVER,"Thyme, Creeping","1-2""T, pink flowers, July-August, soft, hairy, gray-green foliage, Deer Resistant",Salmon Pink,Average to dry,Full Sun,Deep Olive Green
GROUND COVER,"Thyme, Creeping","3-4""Tx10-12""W, deep purple bloom, late Spring, fragrant foliage, Deer Resistant",Purple,Average to dry,Full Sun,Green
GROUND COVER,"Thyme, Golden Lemon","4-6""Tx24""W, white flowers, June-July, fragrant, yellow-green variegated leaves, Deer Resistant",White ,Average to dry,Full Sun,Yellow/Green variegated
GROUND COVER,"Thyme, Wooly","1""Tx18-20""W, pink flowers, June-July, wooly gray foliage, Deer Resistant",Pink,Average to dry,Full Sun,Silver Gray
GROUND COVER,Weigela,"18-24""Tx2-3' W, deep pink flowers, mid-June, burgundy/purple foliage",Deep Pink,Average,Full Sun,Burgundy/Purple 
GROUND COVER,Winecups,"8-12""Tx 3-4', bright magenta flowers, June-July, dry soil only, N                                                                                       ",Bright Magenta,Dry,Full Sun,
GROUND COVER,"Wintergreen, Christmas ","6""Tx3-4'W, evergreen, dense and compact, red berries, N",White,Average,Part/Full Shade,Dark Green  
GROUND COVER,Yellowroot/Goldenseal,"2-3'T, spreader, forms colony, brown/purple flowers, Mar-April, erect stems, bright green, celery-like leaves, FC, N",Brown/Purple,Average,Sun/Part Sun,Bright Green
GROUND COVER,"Yew, Spreading English","2-4'Tx12-15'W, major branches horizontal, tips of branches pendulous, shining dark green foliage",,Moist,Sun/Part Sun,Shiny Dark Green 
HERBS-VEGGIES,Asparagus,"4'Tx3'W, male plant, Disease Resistant",,,,
HERBS-VEGGIES,"Basil, Genovese Green","18-24""Tx12-15""W, annual",,Average,Full Sun,Green
HERBS-VEGGIES,"Basil, Purple","16""Tx12""W, full sun, annual",,Average,Full Sun,Purple
HERBS-VEGGIES,Chives,"4-12""Tx12""W, perennial",,Average,Sun/Part Sun,Green
HERBS-VEGGIES,Cilantro/Coriander,"10-12""Tx8-10""W,annual",,Average,Sun/Part Sun,Green
HERBS-VEGGIES,"Dill, Dwarf Fernleaf","18'Tx18'W, annual",,Average to moist,Full Sun,Green
HERBS-VEGGIES,"Fennel, Bronze","4-6'Tx2-4'W, wispy green/bronze foliage, annual",,Moist,Full Sun,Wispy Green/Bronze
HERBS-VEGGIES,Germander,"12-18""Tx12-18""W, evergreen, rose flowers ,aromatic ",Rose,Average,Full Sun,Deep Green
HERBS-VEGGIES,Lemon Balm,"24-36""Tx24""W, white/lavender flowers, late summer, full sun, perennial",,,Full Sun,
HERBS-VEGGIES,"Mint, Chocolate","18-36""Tx3-5'W, aggressive, perennial",,Moist,Full Sun,Green
HERBS-VEGGIES,"Oregano, Hardy","18-24""Tx12-15""W, perennial",,Dry to average,Full Sun,Green
HERBS-VEGGIES,"Parsley, Italian","15-24""Tx15-24""W, biennial",,Moist,Full Sun,Green
HERBS-VEGGIES,"Parsley, Triple Curly","12-20""Tx12""W, biennial",,Moist,Sun/Part Sun,Green
HERBS-VEGGIES,Peppermint,"12-36""Tx3-4'W, perennial", ,Moist,Sun/Part Sun,Green
HERBS-VEGGIES,"Rosemary, Arp","2'Tx2'W, evergreen, purple/pink flowers (light purple/blue), May, perennial",Light Purple/Blue,Dry to average,Full Sun,Gray Green
HERBS-VEGGIES,"Rosemary, Prostrate","6-12""Tx24-36""W, Tender perennial/annual",Blue/White,Dry to average,Full Sun,Gray Green
HERBS-VEGGIES,"Sage, Garden","24-30""Tx12-18""W, blue/purple flower, annual/tender perennial, full sun",Blue/Purple,Average,Full Sun,Med Green
HERBS-VEGGIES,"Sage, Pineapple","3-4'Tx3-4'W, red flowers, Fall, tender perennial",Red,Average,Full Sun,Med Green
HERBS-VEGGIES,Spearmint,"12-36""Tx3-4'W, perennial",,Moist,Full Sun,Med Green
HERBS-VEGGIES,"Thyme, English","12-15""Tx10-12""W, perennial",Lilac/Purple,Average to dry,Full Sun,Green
HERBS-VEGGIES,"Verbena, Lemon","3-4'Tx12-15""W, medium green foliage, annual/tender perennial, sun-part shade",,Moist,Sun/Part Sun,Med. Green
PERENNIALS,Anemone,"18""Tx 24""W, white flowers with blue violet underside, Spring-Fall, repeat bloomer, moist soil",White/Blue,Moist,Part/Full Shade,Green
PERENNIALS,"Anemone, Japanese","3'Tx3'W,  white flowers, August-October, mounding foliage",White,Moist,Sun/Part Sun,Green
PERENNIALS,"Anemone, Japanese ","2-3'Tx2-3'W, single rose-pink flowers, Aug-September",Rose Pink,Moist,Sun/Part Sun,Green
PERENNIALS,"Anemone, Japanese ","24-30""Tx24-30""W, deep pink, yellow-centered flower, early August-September",Pink/Yellow,Average to Moist,Sun/Part Sun,Green
PERENNIALS,Anise hyssop,"2-4'Tx2-4'W, violet blue flowers, July-September, licorice-scented foliage, Drought Resistant",Violet/Blue,Average,Full Sun,Green
PERENNIALS,Anise,"2'Tx3'W, bright pink/purple flowers, June-Oct, butterflies, hummingbirds",Pink/Purple,Average,Sun/Part Sun,Bright Green
PERENNIALS,Aster,"12-15""x18-24""W, lavender-blue flowers, Sept-Frost birds, butterflies, Deer Resistant",Blue/Lav,Average,Sun/Part Sun,Green
PERENNIALS,Aster,"12-15""x18-24""W, pinkish-purple flowers, Sept-Frost, birds, butterflies, Deer Resistant",Pink/Purple,Average,Sun/Part Sun,Green
PERENNIALS,Aster,"1-2'Tx18-3-4'W, deep sky-blue flowers, Sept-Frost, bees, birds, butterflies, Deer Resistant",,,,
PERENNIALS,Aster,"18""Tx18""W, violet flowers, Sept/Oct, fragrant foliage, Bees, Butterflies, N",Violet,Average to Dry,Full Sun,Gray/Green
PERENNIALS,"Aster, New England ","24-30""Tx24-30""W, rose-colored,  daisy-like flowers, late Aug-late Sept, wildlife magnet, N",Rose,Average,Full Sun,Deep Green
PERENNIALS,"Aster, Stoke's","18-20""x18-24""W, double violet-blue flowers, July-Aug",Violet Blue ,Average,Full Sun,Green
PERENNIALS,"Aster, Stoke's","12-18""x 18""W, white flowers, July-August, butterflies, bees, Deer Resistant",White ,,,
PERENNIALS,"Aster, White Woodland","18-30""Tx18-30""W, white flowers, Aug-Oct, wildlife, N",Red,Dry to average,Part/Full Shade,Green
PERENNIALS,Astilbe,"18-24""Tx24-30""W, red buds, pink-red flowers, July-August",Pink/Red,Moist,Part/Full Shade,Dark Green
PERENNIALS,Astilbe,"24""Tx24-30""W, pale pink flowers, May-June ",Pale Pink,Moist,Part/Full Shade,Dark Green
PERENNIALS,Astilbe,"24-36""Tx18-24""W, pure white flowers, June-July",White,Moist,Part/Full Shade,Shiny Green
PERENNIALS,Astilbe,"24""Tx24-30""W, white flowers, May-June, deep green foliage",White,Moist,Part/Full Shade,Deep Green
PERENNIALS,Astilbe,"18-24""Tx24-30""W, pale pink flowers, July-August, blue-green foliage",Pale Pink,Moist,Part/Full Shade,Dark Green
PERENNIALS,Astilbe,"24""Tx24""W, garnet red flowers, mid-June-August",Garnet Red,Moist,Part/Full Shade,Dark Bronze to Green
PERENNIALS,Astilbe,"24""Tx24""W, white flowers, mid-June-August",White,Moist,Part/Full Shade,Bronze/Green
PERENNIALS,Astilbe,"36""Tx2-3'W,  purple-rose flowers, August-September, bronze cut-leaf foliage ",Purple/Rose,Moist,Part/Full Shade,Bronze/Green
PERENNIALS,Astilbe,"15-24""Tx24-30""W, lilac/purple, July-August, bronze foliage",Lilac/Purple,Moist,Part/Full Shade,Bronze/Green
PERENNIALS,Astilbe,"8-12""Tx12-15""W, dwarf, lavender-pink flowers, mid-late season",Lavender Pink,Moist,Part/Full Shade,Dark Green
PERENNIALS,Astilbe,"18-20""Tx20-24""W, dark red flowers, late May-early June, dark green foliage",Dark Red,Moist,Part/Full Shade,Bronze to Dark Green
PERENNIALS,Astilbe,"24-36""Tx20-24""W, soft, salmon-pink flowers, deep-red stems, Summer",Salmon Pink,Moist,Part/Full Shade,Blue Green w/deep red stems
PERENNIALS,Astilbe,"1-2'Tx 2'W, pale pink flrs fade to green, July-August, heat/drought tolerant                                  ",Pale Pink to Green ,Average to Moist,Part/Full Shade,Bluish Green
PERENNIALS,Astilbe,"1-2'Tx 2'W, raspberry purple flowers, July-August, heat/drought tolerant                                     ",Raspberry Purple,Average to Moist,Part/Full Shade,Bronze/Green
PERENNIALS,Bachelors Button,"24""Tx2-3' W, deep blue flowers, May-July, silvery-gray foliage                                                     ",Deep Blue,Average,Full Sun,Silver- Gray/Green
PERENNIALS,Bachelors Button,"12-15""Tx2-3' W, royal purple flowers, late June, silvery-gray foliage",White/Royal Purple,Average,Full Sun,Silver- Gray/Green
PERENNIALS,"Baneberry, White","2-3'Tx2-3'W, fragrant white flowers, late Spring, white, dolls-eye berry in Fall, poisonous, Full Shade, N",White,Moist,Full shade,Bluish Green
PERENNIALS,Beardtongue,"24-30""Tx18-24""W, bright red, tubular flowers, summer, Hummingbirds",Red,Average to dry,Full Sun,Green
PERENNIALS,Beardtongue,"24-30""Tx18-24""W, white flowers, early June-July, purple-red foliage, hummingbirds, N",White,Average to dry,Full Sun,Purple/Red
PERENNIALS,Beardtongue,"24""Tx18""W, loose spikes of tubular, rosey-lavender flowers, Summer, Bees, Hummingbirds",Rose/Lavender,,,
PERENNIALS,Beardtongue,"3'Tx3'W, loose spikes of tubular, lavender-pink flowers, Summer, glossy, bronze-red foliage, Bees, Hummingbirds",Lavender-Pink,Average to dry,Full Sun,Bronze/ Red
PERENNIALS,Bee Balm,"2'Tx2'W, cherry red flowers, Summer, mildew and Deer Resistant, Hummers, Bees and Butterflies",Red,Moist,Sun/Part Sun,Deep Green
PERENNIALS,Bee Balm,"12-15""Tx12-15""W, fragrant, lavender-pink flowers, June-Sept,  High MR                                                                                       ",Lavender-Pink,Moist,Sun/Part Sun,Deep Green
PERENNIALS,Bee Balm,"3-4'Tx3-4'W, deep scarlet flowers, July, butterflies, hummingbirds, N",Deep Scarlet,Moist,Sun/Part Sun,Deep Green
PERENNIALS,Bee Balm,"30-36""Tx 18-24""W, raspberry wine flowers, July-Aug, butterflies and hummers, MR",Wine Red,Moist,Sun/Part Sun,Deep Green
PERENNIALS,Bee Balm,"30-36""Tx 30""W, purple flowers, July-Aug, butterflies, bees and hummers, MR                                      ",,,,
PERENNIALS,Bee Balm,"12-16""Tx12-15""W, bright pink flrs, July-Aug, butterflies, hummers, Deer Resistant, N                        ",Bright Pink,Moist,Sun/Part Sun,Deep Green
PERENNIALS,Bee Balm,"30-36""Tx18-24""W, shocking violet-blue flowers, July-Aug, fragrant leaves, butterflies, hummers, N",Violet-Blue,Moist,Sun/Part Sun,Green
PERENNIALS,"Bee Balm, Dwarf","10-12""Tx18""W, medium purple flowers, June-September, fragrant foliage, Butterflies, Hummers",Purple,Moist,Sun/Part Sun,Deep Green
PERENNIALS,"Bee Balm, Spotted","2'Tx2'W, purple flowers, July-September, sandy soil, full sun, Bees and Butterflies, N",Purple,Sandy,Full Sun,Medium Green
PERENNIALS,"Bellflower, Serbian","8-10""Tx2-3'W, 1""deep blue flower, June-Fall",Deep Blue,Average,Sun/Part Sun,Green
PERENNIALS,"Bergenia, Heartleaf/Pigsqueak","10-12""Tx12-15""W, deep pink flowers, late March-mid-May, part-full shade, red Fall Color",Deep Pink,Average,Part/Full Shade,Shiny Dark Green 
PERENNIALS,Black-eyed Susan,"24-30""Tx30-36""W, golden yellow flowers, July-Frost, N",Golden Yellow w/ brown center,Average,Full Sun,Deep Green
PERENNIALS,Black-eyed Susan,"12-14""Tx18-24""W, deep yellow flowers with brown center, July-Frost",Deep Yellow w/brown center,Average,Full Sun,Deep Green
PERENNIALS,"Black-eyed Susan, Sweet coneflower ","3-4'Tx2-3'W, golden yellow, quill-like flowers with black center, Aug-Frost,                                                                                  ",Gold Yellow  w/black center,Average,Full Sun,Deep Green
PERENNIALS,Black-eyed Susan ,"36""Tx24-30""W, deep gold flower with brown eye, July-September, N ",Deep Gold w/ brown center,Average,Full Sun,Deep Green
PERENNIALS,Black-eyed Susan ,"12-14""Tx 12-15""W, short yellow-orange flowers with black center, July-Frost, Butterflies, Birds",Yellow-orange w/black center,Average,Full Sun,Deep Green
PERENNIALS,Bleeding Heart,"8""Tx15-18""W, rosey-pink flowers, April-Sept",Rosey-Pink,Moist,Part/Full Shade,Grayish-Green
PERENNIALS,Bleeding Heart,"12-15""Tx15-18""W, everblooming, deep red flowers, June-Frost, ferny-green foliage",Deep Red,Moist,Sun/Part Sun,Grayish-Green
PERENNIALS,Bleeding Heart,"30""Tx36-42""W, pink flowers, May-June, round growth habit, mid-summer dormancy",Pink w/white,Moist,Part/Full Shade,Bright Green
PERENNIALS,"Bleeding Heart, Wild","12-18""Tx18-24""W, pink flowers, April-September, gray-green foliage, self-sows, N",Pink-Red,Moist,Sun/Part Sun,Grayish-Green
PERENNIALS,"Bluebells, Virginia","18-24""x15-18"", trumpet-like, pink turning blue flowers, mid-April-mid May, ephemeral, N",Lavendar /Blue,Moist,Part/Full Shade,Blue-Green
PERENNIALS,"Bluestar, Blue Ice","12-15""Tx2'W, dark, lavender-blue flowers, early spring, Deer Resistant, Drought Resistant",Dark Lavender- Blue,Average,Sun/Part Sun,Deep Green
PERENNIALS,"Bluestar, Narrowleaf","30-36""Tx30-36""W, light blue flowers, mid-May, light and airy foliage, outstanding Fall Color, N",Light Blue,Average,Sun/Part Sun,Green
PERENNIALS,"Breeches, Dutchman's","6-8""Tx6-8""W, white, pantaloon-shaped flowers, April-May, spring ephemeral, N                                 ",Deep Blue,,,
PERENNIALS,"Bugloss, Siberian","12-15""Tx18-24""W, deep blue flowers, May-June, variegated foliage",Deep Blue,Moist,Part/Full Shade,Green/White Variegated
PERENNIALS,"Bugloss, Siberian","12-15""Tx18-24""W, deep blue flrs, May-Jun, medium green foliage, spreader, N                               ",Deep Blue,Moist,Part/Full Shade,Med Green
PERENNIALS,Butterfly Weed ,"18-36""Tx12-24""W, bright orange flowers, June-July, butterflies,  N",Orange,Average to dry,Full Sun,Green
PERENNIALS,Butterfly Weed,"18-36""Tx12-24""W, bright yellow flowers, June-July, butterflies,  N",Yellow,Average to dry,Full Sun,Green
PERENNIALS,"Cactus, Prickly Pear","6-10""Tx12-18""W, succulent, yellow flowers, June-July, N                                                                                                                                                     ", ,,,Succulent
PERENNIALS,Calamint,"12-15""Tx15-18""W, lavender/white flowers, August-Frost, scented foliage, Bees, Hummers",Lavender/White,"Average, well-drained",Full sun,Deep Green
PERENNIALS,Calamint,"12-24""Tx12""W, tiny blue flowers, June-frost, fragrant deep green foliage, Bees, Hummers                                             ",Blue,"Average, well-drained",Full sun,Deep Green
PERENNIALS,"Calamint, Dwarf","9-12""Tx12-36""W, white flowers, June-Sept, fragrant deep green foliage, Bees, Hummers                                             ",White,"Average, well-drained",Full sun,Deep Green
PERENNIALS,Calamint,"12-18""Tx12-18""W, white flowers, Aug-Oct, fragrant medium green foliage, Bees                                          ",,,,
PERENNIALS,Cardinal Flower,"3-4'Tx18-24""W, bright red flowers, July-September, N",Red,Moist,Sun/Part Sun,Med Green
PERENNIALS,"Cardinal Flower, Blue","30-36""Tx18-24""W, blue flowers, late June-Sept, butterflies and hummingbirds, N",Blue,Moist,Sun/Part Sun,Med Green
PERENNIALS,Catmint,"2-3'Tx3-4'W, violet-blue flowers, June-July, fuzzy gray-green foliage",Violet/Blue,Average,Sun/Part Sun,Fuzzy Gray Green
PERENNIALS,Catmint,"18""Tx18""W, blue-purple flowers, June-September,  gray-green foliage",Blue/Purple,Average,Sun/Part Sun,Gray/Green Silvery
PERENNIALS,Catmint,"12-15""Tx14-20""W, lavender-blue flowers, May-July, soft grey silvery foliage",Lavender/Blue,Average,Sun/Part Sun,Soft Gray Silvery
PERENNIALS,Catmint,"6-12""Tx2-3'W, lavender-blue flowers, Summer, silver-gray foliage, Bees and Butterflies",Lavender/Blue,Average,Sun/Part Sun,Silver Gray
PERENNIALS,Catmint,"12-14""Tx12-14""W, lavender-blue flowers, Summer, silver-gray foliage, Bees and Butterflies",Lavender/Blue,Average,Sun/Part Sun,Silver Gray
PERENNIALS,Columbine,"8-12""Tx15-18""W, compact, white/pink/purple flowers, May-June",White/Pink/Purple,Average,Sun/Part Sun,Green
PERENNIALS,Columbine,"8-10""Tx8-12""W, yellow-red flowers, April-June, N                                                                                                                                                              ",Red/Yellow,Average,Sun/Part Sun,Green
PERENNIALS,Columbine,"18-24""Tx8-12""W, lemon yellow/coral pink flowers, early April",Yellow/Pink,Average,Sun/Part Sun,Green
PERENNIALS,Columbine,"18-24""Tx18-24""W, light blue flowers, late April-mid-June, Hummers",Light Blue,Average,Sun/Part Sun,Green
PERENNIALS,Columbine,"12-14""Tx12-14""W, light pink flowers, late April-mid-June, hummingbirds and butterflies",Light Pink,Average,Sun/Part Sun,Green
PERENNIALS,Coneflower,"36-42""Tx 18-24""W, carmine red flowers, July-September, butterflies and birds, N",Pink/Purple,Average,Full Sun,Dark Green
PERENNIALS,Coneflower,"2-3'Tx2'W, longlasting, deep rose flowers, June-September, butterflies and birds, N",Deep Rose  ,Average,Full Sun,Dark Green
PERENNIALS,Coneflower,"3'Tx3'W, long lasting, white flower, June-September, butterflies, bees and birds","White, yellow cone",Average,Full Sun,Dark Green
PERENNIALS,Coneflower,"24-30""Tx18-24""W, deep pink flowers, mid-June-Sept, butterflies, bees and birds",Deep Pink,Average,Full Sun,Dark Green
PERENNIALS,Coneflower,"24-30""Tx18-24""W, pink flowers, mid-June-Oct, butterflies, birds, bees","Pink, orange cone",Average,Full Sun,Dark Green
PERENNIALS,Coneflower,"18-22""Tx15-18""W, rosey-pink flower, June-October, butterflies, bees and birds, N",Rosey Pink,Average,Full Sun,Dark Green
PERENNIALS,Coneflower,"24""Tx30""W, mix of colors-pinks/orange/yellow, July-Frost, Birds, Butterflies, Bees"," Pink, Yellow, Orange Mix",Average,Full Sun,Dark Green
